DATES,GDP,TAX,G,TB3MS,CPI_PIQ4
1952,-0.01013027,0.045707976,-0.019974999,0.015666667,0.027633842
1952.25,-0.01962338,0.034136323,0.014092464,0.016466667,0.020598313
1952.5,-0.018075345,0.024704529,0.018287038,0.017833333,0.027885203
1952.75,0.003732133,0.057626263,0.034324854,0.018933333,0.014336262
1953,0.01273432,0.071912422,0.04966753,0.0198,0.007667689
1953.25,0.011514163,0.066351498,0.06141235,0.021533333,0.008770887
1953.5,-0.003358881,0.038426109,0.036821555,0.019566667,0.006603151
1953.75,-0.02950655,-0.052421308,0.026129203,0.014733333,0.007215757
1954,-0.044463611,-0.109019531,-0.005996783,0.0106,0.012444163
1954.25,-0.05335478,-0.118656569,-0.040381727,0.0079,0.007085616
1954.5,-0.049477679,-0.117990685,-0.063238015,0.008833333,-0.000124185
1954.75,-0.038818157,-0.09644931,-0.07130657,0.0102,-0.004970807
1955,-0.018658404,-0.050958923,-0.07781216,0.012233333,-0.005953875
1955.25,-0.01321867,-0.037050527,-0.082760609,0.014833333,-0.005714301
1955.5,-0.009243777,-0.029875223,-0.082105713,0.018566667,-0.002362451
1955.75,-0.009812339,-0.023290245,-0.10601162,0.023366667,0.00373042
1956,-0.022810527,-0.035972342,-0.107149026,0.023266667,0.002485091
1956.25,-0.02708876,-0.036056064,-0.089477076,0.025666667,0.010410306
1956.5,-0.036127353,-0.059611777,-0.109027297,0.025833333,0.019966155
1956.75,-0.032044436,-0.039729898,-0.093295264,0.030333333,0.025488452
1957,-0.032573716,-0.032771535,-0.074147356,0.030966667,0.033558149
1957.25,-0.044088927,-0.055486059,-0.084547856,0.0314,0.035486618
1957.5,-0.045600267,-0.073032841,-0.085784603,0.033533333,0.034068306
1957.75,-0.070552479,-0.12433112,-0.076221351,0.0331,0.03038661
1958,-0.103101865,-0.188170989,-0.094059717,0.017566667,0.033977552
1958.25,-0.106841206,-0.202916784,-0.072187857,0.009566667,0.032198532
1958.5,-0.08961947,-0.172351196,-0.069810004,0.0168,0.022737527
1958.75,-0.072711171,-0.13638729,-0.05480389,0.0269,0.01895075
1959,-0.065545045,-0.099755561,-0.074515454,0.027733333,0.008892027
1959.25,-0.05191351,-0.068923211,-0.074138691,0.03,0.003909849
1959.5,-0.063397011,-0.103205256,-0.0780933,0.0354,0.009637523
1959.75,-0.068930192,-0.109899204,-0.097877802,0.0423,0.01463385
1960,-0.057825022,-0.03627425,-0.125356008,0.038733333,0.013815371
1960.25,-0.071124275,-0.062515086,-0.123794907,0.029933333,0.018084087
1960.5,-0.078794426,-0.08295481,-0.103379656,0.0236,0.013496094
1960.75,-0.101844795,-0.113495118,-0.100213268,0.023066667,0.013863282
1961,-0.103112793,-0.123891819,-0.09415586,0.0235,0.014968486
1961.25,-0.093222704,-0.113593478,-0.096198093,0.023033333,0.008641544
1961.5,-0.085425575,-0.106275739,-0.084859159,0.023033333,0.011981555
1961.75,-0.073791261,-0.082291261,-0.06828281,0.0246,0.007026966
1962,-0.064308162,-0.081196903,-0.054382649,0.027233333,0.008896856
1962.25,-0.063210271,-0.077951687,-0.055191676,0.027166667,0.012989358
1962.5,-0.062900182,-0.067211025,-0.039820054,0.0284,0.011949689
1962.75,-0.068559174,-0.067463371,-0.039687911,0.028133333,0.012920504
1963,-0.066215621,-0.052020202,-0.050435679,0.029066667,0.012214732
1963.25,-0.060721416,-0.041293924,-0.055623763,0.0294,0.010315026
1963.5,-0.049890214,-0.040674714,-0.025136669,0.032933333,0.013546198
1963.75,-0.050228243,-0.0422172,-0.032217171,0.034966667,0.013838412
1964,-0.037543962,-0.06680777,-0.032569817,0.0353,0.014765223
1964.25,-0.034384386,-0.111798069,-0.031027893,0.034766667,0.014522852
1964.5,-0.030559461,-0.100287003,-0.032077673,0.034966667,0.0106849
1964.75,-0.035344659,-0.099159357,-0.043854034,0.036833333,0.012581488
1965,-0.018065574,-0.059789076,-0.049143194,0.0389,0.011571971
1965.25,-0.012231409,-0.056598976,-0.042848481,0.038733333,0.0163282
1965.5,-0.001190536,-0.08402913,-0.01150128,0.038666667,0.017030747
1965.75,0.014139065,-0.070940829,0.008820167,0.041666667,0.017688329
1966,0.031346058,-0.01097855,0.021308027,0.0461,0.023894616
1966.25,0.026986483,0.007011247,0.031196065,0.045866667,0.026531742
1966.5,0.026800644,0.007224758,0.057738655,0.050433333,0.03219385
1966.75,0.027568855,0.009888001,0.064352915,0.0521,0.035073218
1967,0.029104461,0.003545099,0.098951718,0.045133333,0.028303776
1967.25,0.021679692,-0.002502655,0.092940934,0.0366,0.025343578
1967.5,0.022966476,0.004503664,0.098963567,0.043,0.026722034
1967.75,0.023210846,0.014270287,0.104890387,0.047533333,0.029465303
1968,0.036293817,0.052416707,0.117798539,0.0505,0.036728694
1968.25,0.045170469,0.062611496,0.117952405,0.0552,0.040379686
1968.5,0.044793364,0.11009976,0.118453245,0.051966667,0.043802623
1968.75,0.041728579,0.115111304,0.115275386,0.055866667,0.04522175
1969,0.050363458,0.148361058,0.109489516,0.060933333,0.047582715
1969.25,0.045861964,0.143775251,0.103626527,0.061966667,0.053559065
1969.5,0.044054603,0.109544,0.106773062,0.070233333,0.053766424
1969.75,0.032067876,0.09616468,0.088679676,0.073533333,0.056687936
1970,0.023113884,0.042488046,0.089221833,0.0721,0.060405923
1970.25,0.016275275,0.025068757,0.073007533,0.066766667,0.058631355
1970.5,0.016755742,-0.011193436,0.079200369,0.063266667,0.055301496
1970.75,-0.001921174,-0.037828301,0.075091164,0.053533333,0.054488185
1971,0.016371178,-0.036537335,0.065113217,0.0384,0.046997115
1971.25,0.013955872,-0.04270742,0.061132313,0.0425,0.042236007
1971.5,0.013697398,-0.059030272,0.058152049,0.0501,0.041812111
1971.75,0.008591791,-0.058490454,0.051330211,0.0423,0.034742948
1972,0.018126008,0.011009925,0.065349133,0.034366667,0.03445788
1972.25,0.033733329,0.013152455,0.069767613,0.0377,0.031748698
1972.5,0.035808637,0.009748776,0.044678597,0.0422,0.029852963
1972.75,0.046036436,0.025075529,0.052054705,0.048633333,0.032789823
1973,0.062011372,0.070455682,0.059408888,0.057,0.040305732
1973.25,0.06486265,0.062995559,0.048822375,0.066033333,0.054573166
1973.5,0.052270234,0.049150669,0.026129529,0.083233333,0.066127084
1973.75,0.056668185,0.05888538,0.02841282,0.075,0.08082918
1974,0.039920649,0.059960647,0.041625447,0.076166667,0.094535286
1974.25,0.036726914,0.069115151,0.046573178,0.081533333,0.100264091
1974.5,0.017966749,0.07057789,0.042406585,0.0819,0.108480643
1974.75,0.005478866,0.021234426,0.041223861,0.0736,0.113743279
1975,-0.013606721,-0.031227278,0.042658716,0.0575,0.10557191
1975.25,-0.013054932,-0.179899735,0.032506498,0.053933333,0.091120972
1975.5,-0.004596821,-0.042592046,0.037332848,0.0633,0.083221382
1975.75,0.00122282,-0.038624218,0.040790026,0.056266667,0.071235605
1976,0.015986832,-0.005526277,0.03796475,0.049166667,0.061482175
1976.25,0.016482631,-0.001062477,0.022661906,0.051566667,0.058410762
1976.5,0.014127487,0.002203681,0.007640738,0.0515,0.054390459
1976.75,0.014836332,-0.004507772,0.002498639,0.046733333,0.050569269
1977,0.019109594,0.015189642,0.005452159,0.0463,0.057357162
1977.25,0.02949382,0.031383613,0.00732141,0.0484,0.06575675
1977.5,0.037634945,0.027585804,0.00076701,0.054966667,0.06366554
1977.75,0.034644407,0.032442923,-0.002455184,0.0611,0.063857383
1978,0.028964485,0.034232943,-0.010510479,0.063933333,0.062742145
1978.25,0.058751437,0.077895771,0.003914858,0.064766667,0.067922385
1978.5,0.059882129,0.0946362,0.002147087,0.073133333,0.0771834
1978.75,0.065965297,0.107017525,0.0024644,0.0857,0.085530992
1979,0.059930587,0.115865564,-0.011220263,0.093833333,0.093337176
1979.25,0.053823405,0.108157698,-0.01311809,0.093766667,0.102149575
1979.5,0.053886016,0.105694437,-0.012458467,0.096733333,0.110853235
1979.75,0.048668968,0.098701472,-0.005301164,0.118433333,0.119044243
